pH,Temperature,Taste,Odor,Fat,Turbidity,Colour,Grade
6.6,36,1,0,1,0,254,high
6.6,36,0,1,0,1,253,high
8.5,70,1,1,1,1,246,low
9.5,34,1,1,0,1,255,medium
6.6,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
6.5,45,1,0,1,1,250,low
7.5,60,0,1,1,1,250,low
8.1,66,1,0,0,1,255,low
6.7,45,1,1,0,1,247,medium
6.5,36,1,0,1,0,255,high
6.7,38,1,1,1,1,255,medium
6.8,45,0,1,0,0,240,medium
7.4,41,0,0,1,0,255,low
8.6,55,0,1,1,1,255,low
6.3,36,1,0,1,0,255,high
7.0,43,1,1,1,1,248,low
8.0,50,0,0,0,0,247,medium
8.8,43,1,0,1,1,250,high
8.6,55,0,1,1,1,255,low
